FIPS,NAME,median_income
06001,Alameda,99406
06003,Alpine,63750
06005,Amador,62772
06007,Butte,52537
06009,Calaveras,63158
06011,Colusa,59401
06013,Contra Costa,99716
06015,Del Norte,45283
06017,El Dorado,83377
06019,Fresno,53969
06021,Glenn,49633
06023,Humboldt,48041
06025,Imperial,47622
06027,Inyo,57316
06029,Kern,53350
06031,Kings,57848
06033,Lake,47040
06035,Lassen,56352
06037,Los Angeles,68044
06039,Madera,57585
06041,Marin,115246
06043,Mariposa,48820
06045,Mendocino,51416
06047,Merced,53672
06049,Modoc,45507
06051,Mono,62260
06053,Monterey,71015
06055,Napa,88596
06057,Nevada,66096
06059,Orange,90234
06061,Placer,89691
06063,Plumas,55359
06065,Riverside,67005
06067,Sacramento,67151
06069,San Benito,86958
06071,San Bernardino,63362
06073,San Diego,78980
06075,San Francisco,112449
06077,San Joaquin,64432
06079,San Luis Obispo,73518
06081,San Mateo,122641
06083,Santa Barbara,74624
06085,Santa Clara,124055
06087,Santa Cruz,82234
06089,Shasta,54667
06091,Sierra,52148
06093,Siskiyou,45241
06095,Solano,81472
06097,Sonoma,81018
06099,Stanislaus,60704
06101,Sutter,59050
06103,Tehama,44514
06105,Trinity,40846
06107,Tulare,49687
06109,Tuolumne,60108
06111,Ventura,88131
06113,Yolo,70228
06115,Yuba,58054
